zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
99025,1757,1283,76477,18100,84027,9982,40.44,,,
99026,3517,2897,70754,7987,75636,6272,38.94,,,
99027,2480,1617,53263,9988,63276,6043,32.63,,,
99029,575,426,63364,2535,65623,7183,36.59,,,
99030,412,304,60750,19326,66950,7650,35.65,,,
99031,411,295,30250,10746,48082,14973,20.04,,,
99032,336,202,34375,5633,44385,7182,22.68,,,
99033,401,249,49276,10069,54175,7704,30.81,,,
99034,55,13,-,**,N,N,#VALUE!,,,
99036,473,372,86382,21975,104609,22997,42.44,,,
99037,4816,3457,59758,6476,74787,6691,35.28,,,
99039,50,26,49000,9043,49768,6914,30.68,,,
99040,269,157,29271,11022,46417,12114,19.39,,,
99101,607,466,36691,12659,44828,7117,24.09,,,
99102,218,129,36667,19215,55910,12485,24.07,,,
99103,214,135,41458,7180,51146,6667,26.82,,,
99105,24,14,34500,61860,64954,26954,22.76,,,
99109,2154,1428,35242,8181,47027,4136,23.21,,,
99110,532,376,37059,10184,55480,18022,24.31,,,
99111,1802,1074,48835,4740,63253,9414,30.60,,,
99113,266,199,68167,8833,75637,8669,38.17,,,
99114,5074,3201,40921,2824,56577,4262,26.52,,,
99115,472,346,45139,10357,61021,10092,28.77,,,
99116,665,436,50134,4787,58820,7298,31.22,,,
99117,212,125,40938,7951,53731,7927,26.53,,,
99118,317,189,42344,15217,55826,11829,27.30,,,
99119,426,295,40833,20496,54804,10002,26.47,,,
99121,65,35,45938,17396,54275,21360,29.18,,,
99122,1455,947,51276,6417,62075,6895,31.74,,,
99123,540,348,60263,13066,65098,8022,35.47,,,
99124,121,86,44583,16502,61969,15122,28.48,,,
99125,245,146,44375,4045,48907,6056,28.38,,,
99126,403,333,49946,18992,52327,12542,31.13,,,
